,month,cat,predicted units,predicted sales,hk 2021-2023 sale,top demand account,customer,business channel,department
620,2023-11,SCR,5625,190418,351980464.71999997,900120,TPH Holdings,WD,WD
625,2023-11,BRG,3376,101629,8736139.95,902830,Car Parts Warehouse,WD,WD
627,2023-11,DRM,626,30031,81654738.36,903670,Factory Motor Parts,WD,WD
629,2023-11,HDW,2735,3500,1923421.39,903670,Factory Motor Parts,WD,WD
633,2023-11,PBK,479,2328,16349008.49,900003OH,Summit Racing,B2B,performance
634,2023-11,PRO,727,440,1489520.43,903580,Parts Authority,WD,WD
635,2023-11,SBH,796,71195,130057049.91,903670,Factory Motor Parts,WD,WD
636,2023-11,SEN,4428,34662,619012195.13,903670,Factory Motor Parts,WD,WD
648,2023-12,CAL,3778,549838,1917588685.86,900003OH,Summit Racing,B2B,performance
649,2023-12,COL,129,11614,3840686.01,902760,Turn 5 Inc,B2B,performance
651,2023-12,OEC,2142,107164,1594007689.19,903670,Factory Motor Parts,WD,WD
653,2023-12,ESP,314,8730,158764905.62,903670,Factory Motor Parts,WD,WD
654,2023-12,NXT,4704,116174,1002190007.74,903580,Parts Authority,WD,WD
657,2023-12,PST,157,11839,94581283.8,903670,Factory Motor Parts,WD,WD
658,2023-12,SHS,8413,152970,1545172204.99,903670,Factory Motor Parts,WD,WD
660,2023-12,Z16,9180,201231,2650234635.87,903580,Parts Authority,WD,WD
661,2023-12,Z17,151739,3485394,17227474102.64,903670,Factory Motor Parts,WD,WD
662,2023-12,Z23,9208,360441,1826978746.87,903670,Factory Motor Parts,WD,WD
663,2023-12,Z26,4726,243616,617743510.47,903670,Factory Motor Parts,WD,WD
664,2023-12,Z36,30236,1295750,2830528328.65,903670,Factory Motor Parts,WD,WD
665,2023-12,Z37,1342,56152,208083238.28,903670,Factory Motor Parts,WD,WD
668,2023-12,C36,1046,562150,461130720.68,900066,Amazon,B2B,performance
669,2023-12,CRK,3993,607758,1054127473.62,900066,Amazon,B2B,performance
670,2023-12,DBU,64,47499,14130145.74,900066,Amazon,B2B,performance
672,2023-12,ESK,232,37068,196313381.83,903670,Factory Motor Parts,WD,WD
677,2023-12,K26,2210,565118,1390169003.06,900003OH,Summit Racing,B2B,performance
678,2023-12,K36,6568,2035276,2717213177.05,900066,Amazon,B2B,performance
